Video_ID,Komentar,Jumlah_Suka
lslu0_8OynQ,"Di Indonesia hanya menekan ,sedangkan Singapura ada LSM New Naratif terbukti ada suplai Dana dari Yayasan George Soros langsung di Usir .Karena Singapura tidak mau kebijakan Nasionalnya di Intervensi oleh kepentingan luar . Dan sekarang LSM New Naratif berdiri di Malaysia dan Aktif mengirim Data Negatif berkaitan Isu Indonesia , ada 27 LSM Malaysia yang disinyalir dananya dari Yayasan SOROS 🎉😮",0
lslu0_8OynQ,Bergerak dan lawan,0
lslu0_8OynQ,"di makassar udah mau nobar film ini di event di fort rotterdarm, ujung ujungnya h- sekian, batal wkwkwk",0
lslu0_8OynQ,"Martyria, salib merah , ada korban, banyak pengorbanan, kesakitan rakyat Papua dari 1961",0
lslu0_8OynQ,Tidak mengheran kan Papua merasa bukan Indonesia dan mereka mau ....... dari Indonesia. Ini terjadi karena Indonesia gagal membuat Orang papua menjadi rakyat Indonesia,0
lslu0_8OynQ,Suaranya mirip hilmar fahrid,1
lslu0_8OynQ,"Pesta Babi, menurut saya punya 2 filosofi, pertama pesta babi bisa didefinisikan pesta adat makan babi, atau bisa didefinisikan bahwa ada 'babi' yang sedang berpesta",0
lslu0_8OynQ,Kita hrus lbih care trhdap papua karna mreka sdra kita jg,0
lslu0_8OynQ,"Tapi secara psikologi aja, umumnya manusia semakin dilarang malah semakin penasaran. Soalnya di kepalanya bakal mikir ""Kenapa nonton film itu dilarang"", dan akhirnya malah sengaja ditonton.
(Itu sih pendapat gua)",0
lslu0_8OynQ,Film Pesta Babi berdampak pd realita kesenjangan lebar n dalam (jurag) antara pemerintsah dgn rakyat...,0
lslu0_8OynQ,Modus kalian sudah kebaca! Algoritmanya bekerja.bisnis propaganda kolaborasi LSM lokal dan jaringan internasional. Nggak perlu drama playing victims. Topeng topeng palsu kalian akan terbuka dan terpampang nyata.,0
lslu0_8OynQ,"Terima kasih Indonesia Baru, Greenpeace, Watch dogs yang telah bekerja keras melahirkan karya penting ini",0
lslu0_8OynQ,"itu siapa dah yg nanyak lagi kenapa gk pake salib merah, kan ud djelasind  d awal kenapa gk pake itu karna lebih ke identitas, kok lagi d tanya, tumben tempo kek gini,",0
lslu0_8OynQ,"Astaghfirullah, sakit banget!! 
Semoga Allah segerakan pertolongan dan mudahkan urusan saudara² Papua.
Referendum ga mungkin, pada rakus SDA Papua yg masya Allah uwakeh poll. 
Deindustrialisasi, kirim mentahnya tok biar cepet cair ga peduli pendapatan rakyat dari mana. 
Negara² adikuasa ga mungkin ngedukung separatisme krn uda kerjasama ama dedengkot. 
Buku Animal Farm, Goerge Orwell dah ini. 
Melepaskan diri dari aturan manusia, dijajah lebih brutal ama kawanan babi.",0
lslu0_8OynQ,"mau ini memang di danai asing, tapi memang untuk memperlihatkan kekejaman yang dilakukan rezim terhadap saudara kita di papua ya why not. agar rakyat sadar kedepannya jangan asal pilih pemimpin. jadinya ya begini.",0
lslu0_8OynQ,Gua rasa PEOPLE POWER adalah jawabannya!!!!,0
lslu0_8OynQ,Pejabat2 rakus kongkalingkong dgn pengusaha hitam dgn modus investasi dan ketahanan energi prettt,0
lslu0_8OynQ,Itulah kenyataannya terus mau ngomong apa ??? Semua pemipin2 Kepala Daerah dari Gubernur sampe Bupati/Wali kota semua Putra Daerah Papua . Harus nya Rakyatnya lebih sejahtera,0
